network_avg_weighted_degree,network_avg_friendship_weight,network_strong_friendships,network_degree_outside,network_temperature_set,network_cost,network_avg_happiness_level,network_cost_happ_ratio
14.35294118,3.128205128,29,1,22,21,91.51,0.229483117
13.41176471,2.923076923,28,-1,21,22,90.92,0.241970963
13.47058824,2.935897436,31,-5,22,27,90.23,0.299235288
13.94117647,3.038461538,29,-7,22,29,89.73,0.323191798
13.64705882,2.974358974,32,-4,22,26,89.75,0.289693593
14.23529412,3.102564103,33,-5,21,26,89.04,0.292003594
15.11764706,3.294871795,27,-3,22,25,89.41,0.279610782
15.11764706,3.294871795,38,-2,21,23,89.74,0.256295966
15.23529412,3.320512821,40,1,21,20,90.34,0.221385876
15.52941176,3.384615385,43,3,21,18,90.71,0.198434572
14.64705882,3.192307692,34,4,21,17,90.97,0.186874794
14.94117647,3.256410256,38,5,21,16,90.85,0.176114474
15.35294118,3.346153846,44,6,22,16,91.12,0.175592625
15.23529412,3.320512821,41,6,22,16,90.81,0.176192049
15.52941176,3.384615385,41,5,21,16,90.45,0.176893311
