,node_id,degree_choice,happiness_level,heater_preference,age,N2,N5,E3,O3,A3,A4,C6,environmentalism,frugality,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,network_avg_weighted_degree,network_avg_friendship_weight,network_strong_friendships,network_degree_outside,network_temperature_set,network_current_day,weighted_degree,weighted_closeness,weighted_betweenness,weighted_eigenvector
0,0,19,88,cool,36,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.14782608695652175,0.4136690647482014,0.4349005363650679,0.31126707564552514,15.117647058823529,3.2948717948717947,37,-3,22,6,50.0,1.9899497487437183,0.44633838383838387,0.3639982108359347
1,1,19,65,cool,52,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.10434782608695653,0.3709677419354839,0.09875740074824746,0.24563675744071706,15.117647058823529,3.2948717948717947,37,-3,22,6,35.0,1.8452935694315005,0.11900252525252525,0.3328943894023776
2,2,21,80,cold,18,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.12173913043478261,0.4136690647482014,0.1987308851839744,0.31562959985939604,15.117647058823529,3.2948717948717947,37,-3,22,6,37.0,1.8367346938775508,0.12436868686868685,0.35053421816036384
3,3,25,95,warm,60,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06086956521739131,0.3560371517027864,0.030488661266693324,0.18240772713698233,15.117647058823529,3.2948717948717947,37,-3,22,6,17.0,1.4920874152223063,0.0,0.20917717181542103
4,4,21,60,cold,41,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.052173913043478265,0.30423280423280424,0.051767098906687015,0.0675332866304069,15.117647058823529,3.2948717948717947,37,-3,22,6,9.0,1.1445086705202316,0.001893939393939394,0.039021643935205
5,5,18,80,cold,25,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06956521739130435,0.30666666666666664,0.07609966946351385,0.07479840716136713,15.117647058823529,3.2948717948717947,37,-3,22,6,11.0,1.093922651933702,0.001893939393939394,0.049950080932220406
6,6,24,98,hot,43,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06956521739130435,0.30831099195710454,0.07691329773709636,0.07530274816804503,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.096952908587258,0.05681818181818182,0.04593651813364528
7,7,19,98,cool,40,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.34124629080118696,0.0,0.14566949632002593,15.117647058823529,3.2948717948717947,37,-3,22,6,10.0,1.279896574014221,0.0,0.1394362937843127
8,8,23,98,warm,22,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06086956521739131,0.3898305084745763,0.08700301478333514,0.2125354118757519,15.117647058823529,3.2948717948717947,37,-3,22,6,16.0,1.8333333333333333,0.13996212121212123,0.2195361337291051
9,9,23,98,warm,35,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.052173913043478265,0.34534534534534533,0.0685060477280157,0.10634338501868723,15.117647058823529,3.2948717948717947,37,-3,22,6,6.0,1.376912378303199,0.0,0.09318295415161612
10,10,20,95,neutral,58,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.3026315789473684,0.01840833968980422,0.0638523402283734,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.4275414563806779,0.05681818181818182,0.07855683060878907
11,11,21,80,cool,50,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2979274611398964,0.051258581235697945,0.046668988006418013,15.117647058823529,3.2948717948717947,37,-3,22,6,3.0,1.2110091743119267,0.0,0.047632461580237054
12,12,22,70,cool,53,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.043478260869565216,0.2994791666666667,0.051258581235697945,0.07401781146506023,15.117647058823529,3.2948717948717947,37,-3,22,6,6.0,1.3469387755102042,0.0,0.08175836226876992
13,13,24,95,hot,64,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06086956521739131,0.3859060402684564,0.07027084619761971,0.20359189677943723,15.117647058823529,3.2948717948717947,37,-3,22,6,18.0,1.7837837837837838,0.0035984848484848487,0.2636896469450151
14,14,21,95,neutral,40,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.3050397877984085,0.03447749809305874,0.0974324725790158,15.117647058823529,3.2948717948717947,37,-3,22,6,7.0,1.3342318059299192,0.0,0.0904304706289451
15,15,21,98,hot,35,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.043478260869565216,0.30666666666666664,0.051258581235697945,0.10111171742226427,15.117647058823529,3.2948717948717947,37,-3,22,6,6.0,1.2080536912751678,0.0,0.07441943346517861
16,16,25,95,warm,41,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.017391304347826087,0.23958333333333334,0.0,0.020726887962676466,15.117647058823529,3.2948717948717947,37,-3,22,6,7.0,0.8749447635881573,0.0,0.014551256209678945
17,17,21,95,neutral,26,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.052173913043478265,0.3058510638297872,0.06773455377574371,0.08841143224694795,15.117647058823529,3.2948717948717947,37,-3,22,6,6.0,1.3423728813559324,0.0,0.09255144612985278
18,18,22,98,neutral,38,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.043478260869565216,0.30666666666666664,0.051258581235697945,0.10111171742226427,15.117647058823529,3.2948717948717947,37,-3,22,6,6.0,1.3253012048192772,0.0,0.08163502997098536
19,19,21,98,neutral,23,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06086956521739131,0.38205980066445183,0.09533326068795181,0.1446478523435436,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.7232375979112275,0.06439393939393939,0.1844139035961655
20,20,19,85,cool,26,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.3050397877984085,0.03447749809305874,0.0974324725790158,15.117647058823529,3.2948717948717947,37,-3,22,6,4.0,1.1934900542495481,0.0,0.05682855214925915
21,21,27,98,hot,36,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.017391304347826087,0.2994791666666667,0.0,0.07689918955223826,15.117647058823529,3.2948717948717947,37,-3,22,6,8.0,1.458026509572901,0.0,0.12159294348605613
22,22,23,98,warm,29,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.3034300791556728,0.017391304347826087,0.09493202030636819,15.117647058823529,3.2948717948717947,37,-3,22,6,4.0,1.010719754977029,0.0,0.04961295564345242
23,23,22,90,neutral,20,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06956521739130435,0.3194444444444444,0.06323417238749046,0.1497528970981626,15.117647058823529,3.2948717948717947,37,-3,22,6,16.0,1.371191135734072,0.004734848484848485,0.12601358429239656
24,24,25,95,hot,21,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.043478260869565216,0.3050397877984085,0.03740147470124587,0.056184486838298416,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.4337436640115861,0.002840909090909091,0.08070714282074208
25,25,21,88,cool,24,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.30183727034120733,0.021605220781422147,0.05624287337184293,15.117647058823529,3.2948717948717947,37,-3,22,6,11.0,1.379790940766551,0.001893939393939394,0.07040637127981236
26,26,22,98,warm,23,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2987012987012987,0.03447749809305874,0.06983832277535644,15.117647058823529,3.2948717948717947,37,-3,22,6,7.0,1.214723926380368,0.0,0.07107032930768596
27,27,22,85,neutral,43,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06956521739130435,0.3582554517133956,0.08741612485319583,0.13903505051258258,15.117647058823529,3.2948717948717947,37,-3,22,6,16.0,1.673710904480135,0.058522727272727275,0.1612738313162976
28,28,19,85,cool,31,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.3495440729483283,0.01968835131306527,0.12155017935317404,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.6569037656903762,0.007386363636363637,0.15988884380070983
29,29,23,95,warm,54,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.052173913043478265,0.3125,0.037199520540481645,0.12915677508393675,15.117647058823529,3.2948717948717947,37,-3,22,6,15.0,1.4580265095729021,0.003787878787878788,0.13203339022272226
30,30,21,80,cold,28,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.06086956521739131,0.35714285714285715,0.06521593839671648,0.16980563089625564,15.117647058823529,3.2948717948717947,37,-3,22,6,12.0,1.5230769230769232,0.002840909090909091,0.15165461776439942
31,31,25,95,hot,53,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.08695652173913043,0.3993055555555556,0.17050645938517772,0.19361912083919708,15.117647058823529,3.2948717948717947,37,-3,22,6,24.0,1.8098720292504573,0.1057449494949495,0.1987847100506729
32,32,21,80,cool,20,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.1391304347826087,0.3924914675767918,0.19341929703485763,0.3201580004894889,15.117647058823529,3.2948717948717947,37,-3,22,6,28.0,1.5254237288135597,0.009280303030303031,0.20163722962787659
33,33,20,80,cool,50,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.16521739130434782,0.4136690647482014,0.3260436114440693,0.35425180131013306,15.117647058823529,3.2948717948717947,37,-3,22,6,59.0,1.9430814524043178,0.40643939393939393,0.36705509717554136
34,34,21,80,cold,43,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.008695652173913044,0.29336734693877553,0.0,0.04298084662407026,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
35,35,23,85,neutral,32,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.2725118483412322,0.0,0.04685944464348984,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
36,36,18,90,cold,37,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.2725118483412322,0.0,0.04685944464348984,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
37,37,19,85,cold,50,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.2725118483412322,0.0,0.04685944464348984,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
38,38,26,88,hot,60,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.29562982005141386,0.0,0.07440483649540748,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
39,39,23,92,warm,43,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.29562982005141386,0.0,0.07440483649540748,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
40,40,22,95,cool,40,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.29562982005141386,0.0,0.07440483649540748,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
41,41,18,80,cold,25,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.29562982005141386,0.0,0.07440483649540748,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
42,42,19,70,cold,30,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.008695652173913044,0.2631578947368421,0.0,0.025187508775961542,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
43,43,23,95,neutral,48,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.23469387755102042,0.0,0.012883434090214765,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
44,44,20,85,cool,60,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.23469387755102042,0.0,0.012883434090214765,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
45,45,23,85,warm,29,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.026086956521739132,0.23469387755102042,0.0,0.012883434090214765,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
46,46,22,85,hot,41,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2366255144032922,0.0,0.01763370223765221,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
47,47,22,98,neutral,59,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2366255144032922,0.0,0.01763370223765221,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
48,48,22,88,neutral,44,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2366255144032922,0.0,0.01763370223765221,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
49,49,18,80,cold,53,Easygoing,Self-controlled,Assertive,Emotional,Selfless,Cooperative,Cautious,Environmentalist,Frugal,0.034782608695652174,0.2366255144032922,0.0,0.01763370223765221,15.117647058823529,3.2948717948717947,37,-3,22,6,,,,
