network_avg_weighted_degree,network_avg_friendship_weight,network_strong_friendships,network_degree_outside,network_temperature_set,network_cost,network_avg_happiness_level,network_cost_happ_ratio
11.88235294,2.58974359,18,1,22,21,87.5,0.24
11,2.397435897,21,-1,22,23,86.16,0.266945218
10.70588235,2.333333333,17,-5,22,27,84.75,0.318584071
10.11764706,2.205128205,15,-7,22,29,84.73,0.342263661
9.529411765,2.076923077,15,-4,22,26,84.86,0.30638699
10.05882353,2.192307692,15,-5,22,27,84.72,0.318696884
9.588235294,2.08974359,14,-3,22,25,84.64,0.29536862
10.35294118,2.256410256,19,-2,22,25,84.28,0.284765069
9.882352941,2.153846154,17,1,22,21,84.91,0.247320692
10.05882353,2.192307692,20,3,22,19,84.86,0.223898185
9.294117647,2.025641026,16,4,22,18,85.23,0.211193242
9.294117647,2.025641026,20,5,21,16,84.7,0.188902007
9.411764706,2.051282051,15,6,22,16,84.99,0.188257442
9.529411765,2.076923077,18,6,22,16,85.16,0.187881635
9.176470588,2,15,5,22,17,84.66,0.200803213
