,node_id,degree_choice,happiness_level,heater_preference,age,N2,N5,E3,O3,A3,A4,C6,environmentalism,frugality,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,network_avg_weighted_degree,network_avg_friendship_weight,network_strong_friendships,network_degree_outside,network_temperature_set,network_current_day,weighted_degree,weighted_closeness,weighted_betweenness,weighted_eigenvector
0,0,18,80,cool,36,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.14782608695652175,0.4136690647482014,0.4349005363650679,0.31126707564552514,9.882352941176471,2.1538461538461537,17,1,22,8,29.0,1.154518950437318,0.42140151515151514,0.30271489598055057
1,1,18,85,cool,52,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.10434782608695653,0.3709677419354839,0.09875740074824746,0.24563675744071706,9.882352941176471,2.1538461538461537,17,1,22,8,26.0,1.2275263484190952,0.2105429292929293,0.3776367662331471
2,2,18,70,cold,18,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.12173913043478261,0.4136690647482014,0.1987308851839744,0.31562959985939604,9.882352941176471,2.1538461538461537,17,1,22,8,25.0,1.2244897959183676,0.2648358585858586,0.3858342232861636
3,3,25,80,warm,60,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3560371517027864,0.030488661266693324,0.18240772713698233,9.882352941176471,2.1538461538461537,17,1,22,8,8.0,0.6644295302013421,0.0,0.10574652814379118
4,4,22,80,cold,41,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.052173913043478265,0.30423280423280424,0.051767098906687015,0.0675332866304069,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.7135135135135137,0.001893939393939394,0.0346672186107448
5,5,19,85,cold,25,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06956521739130435,0.30666666666666664,0.07609966946351385,0.07479840716136713,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.6439024390243903,0.001893939393939394,0.030128243748644083
6,6,27,85,hot,43,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06956521739130435,0.30831099195710454,0.07691329773709636,0.07530274816804503,9.882352941176471,2.1538461538461537,17,1,22,8,8.0,0.5910447761194029,0.05681818181818182,0.027628908751218224
7,7,21,95,cool,40,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.34124629080118696,0.0,0.14566949632002593,9.882352941176471,2.1538461538461537,17,1,22,8,8.0,0.8164948453608248,0.03977272727272727,0.1334083773950622
8,8,24,95,warm,22,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3898305084745763,0.08700301478333514,0.2125354118757519,9.882352941176471,2.1538461538461537,17,1,22,8,14.0,1.2177121771217714,0.09217171717171718,0.2942561919762474
9,9,23,95,warm,35,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.052173913043478265,0.34534534534534533,0.0685060477280157,0.10634338501868723,9.882352941176471,2.1538461538461537,17,1,22,8,8.0,1.1743772241992882,0.09217171717171718,0.19173628983267685
10,10,23,80,neutral,58,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.3026315789473684,0.01840833968980422,0.0638523402283734,9.882352941176471,2.1538461538461537,17,1,22,8,8.0,0.8959276018099547,0.11174242424242424,0.06663909322592926
11,11,19,85,cool,50,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.2979274611398964,0.051258581235697945,0.046668988006418013,9.882352941176471,2.1538461538461537,17,1,22,8,3.0,0.8407643312101911,0.0,0.05643215271336588
12,12,19,75,cool,53,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.2994791666666667,0.051258581235697945,0.07401781146506023,9.882352941176471,2.1538461538461537,17,1,22,8,3.0,0.7485822306238186,0.0,0.044192520046324846
13,13,26,95,hot,64,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3859060402684564,0.07027084619761971,0.20359189677943723,9.882352941176471,2.1538461538461537,17,1,22,8,9.0,1.0554371002132195,0.0,0.1911397461294573
14,14,20,95,neutral,40,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.3050397877984085,0.03447749809305874,0.0974324725790158,9.882352941176471,2.1538461538461537,17,1,22,8,4.0,0.7537114579368102,0.0,0.06577350750982522
15,15,23,80,hot,35,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.30666666666666664,0.051258581235697945,0.10111171742226427,9.882352941176471,2.1538461538461537,17,1,22,8,4.0,0.878048780487805,0.0,0.08581322293280419
16,16,25,95,warm,41,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.017391304347826087,0.23958333333333334,0.0,0.020726887962676466,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.5217391304347825,0.001893939393939394,0.010611711172396319
17,17,20,95,neutral,26,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.052173913043478265,0.3058510638297872,0.06773455377574371,0.08841143224694795,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.9460105112279024,0.0,0.13148703617725568
18,18,21,95,neutral,38,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.30666666666666664,0.051258581235697945,0.10111171742226427,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.8839285714285714,0.0,0.10367019012048258
19,19,20,70,neutral,23,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.38205980066445183,0.09533326068795181,0.1446478523435436,9.882352941176471,2.1538461538461537,17,1,22,8,4.0,0.8148148148148148,0.0,0.09019365815202174
20,20,19,85,cool,26,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.3050397877984085,0.03447749809305874,0.0974324725790158,9.882352941176471,2.1538461538461537,17,1,22,8,6.0,0.8839285714285714,0.0,0.10367019012048258
21,21,27,90,hot,36,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.017391304347826087,0.2994791666666667,0.0,0.07689918955223826,9.882352941176471,2.1538461538461537,17,1,22,8,3.0,0.7401869158878506,0.0,0.06108783540099687
22,22,25,95,warm,29,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.026086956521739132,0.3034300791556728,0.017391304347826087,0.09493202030636819,9.882352941176471,2.1538461538461537,17,1,22,8,5.0,0.9061784897025172,0.0,0.09975163538238813
23,23,21,95,neutral,20,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06956521739130435,0.3194444444444444,0.06323417238749046,0.1497528970981626,9.882352941176471,2.1538461538461537,17,1,22,8,10.0,0.9826302729528538,0.08333333333333333,0.13331090671988105
24,24,26,85,hot,21,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.3050397877984085,0.03740147470124587,0.056184486838298416,9.882352941176471,2.1538461538461537,17,1,22,8,4.0,0.5928143712574849,0.002840909090909091,0.015240967373013501
25,25,19,85,cool,24,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.30183727034120733,0.021605220781422147,0.05624287337184293,9.882352941176471,2.1538461538461537,17,1,22,8,3.0,0.5251989389920424,0.0,0.013437263442496475
